Date ,Company,Category,Aircraft,Location,Description,
4/9/15,SouthGate Films Inc.,Photo/Film,"DJI F550, Tarot T-15, Tarot T-18",NY,"Aerial filming and photography for short films, motion pictures, and commercial filming.",
4/9/15,Next Generation Aviation Services LLC,"Real Estate, Construction, Education, Emergency Services","DJI S1000+, DJI Inspire 1 T600",NJ,"Research and development; training; aerial photography for real estate, construction firms; to assist first responders; and to enhance public awareness of UAS. (Amended 6/23/15)",
4/9/15,Colin Hinkle,Photo/Film," DJI Inspire 1, DJI Phantom 2 Vision, DJI Phantom 3",IL,Aerial photography. (Amended 6/3/15),
4/16/15,Hovershotsapv LLC,Photo/Film,Steadydrone QU4D,FL,Aerial photography for the media and advertising industries.,
4/16/15,M-Kopter Aerials,"Real Estate, Photo/Film",DJI Inspire 1,SD,Aerial videography for geographical awareness/mapping and real estate marketing.,
4/16/15,Cambervision Inc.,Education,DJI Phantom 2,MA,"Community training workshops, research and development, and aerial inspections of buildings and land within the United States.",
4/16/15,"Unmanned Aerial Assessment & Video, LLC",Emergency Services,"DJI Inspire, DJI Phantom 2 or DJI Phantom 2 Vision",CO,"Search and rescue, Hazmat management (Chemical, Biological, Radiation and Nuclear), and emergency and disaster response.",
4/16/15,SkyWords Advertising,"Real Estate, Photo/Film","DJI Phantom 2 Vision+, Harris I8 HL",FL,Aerial photography and cinematography for commercial and residential real estate and closed-set special events.,
4/16/15,Jackson Family Wines,Other-Security,AirCover QR‰öÕ425,CA,Surveillance over private property.,
4/16/15,"Sokoler, Bob",Real Estate,DJI Phantom 2 Vision+,KY,Aerial imaging and video of Louisville Landmarks and homes the team lists for sale.,
4/16/15,"Geosky3, LLC","Real Estate, Photo/Film, Other-Security",DJI Inspire 1 Model T600,FL,"Security services, real estate photography and Geographic Information Systems for business and personal use.",
4/16/15,"Woolpert, Inc.","Government Contracting, Agriculture, Scientific Studies, Conservation, Utilities/Energy/Infrastructure",Skycatch,OH,"Aerial data collection over certain rural areas of the United States in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry operations, and the oil and gas industries. ",
4/16/15,"PrecisionHawk, Inc.","Manufacturer, Agriculture",Hawkeye Mk-III,IN,"Precision aerial surveys, including in agriculture as well as flight demonstrations and structural assessments. (Amended 7/8/2015)",
4/16/15,"Birdseye Video, LLC dba BirdsiVideo",Real Estate,DJI Phantom 2,IN,Aerial videography and to augment real estate listing videos in various metropolitan areas,
4/16/15,Nick Patillo,Real Estate,DJI Phantom,TX,Aerial videography and cinematography to enhance academic community awareness for those individuals and companies unfamiliar with the geographical layout of the East Texas area and augment real estate listing videos. ,
4/16/15,"Empire Unmanned, LLC",Agriculture,SenseFlyeBee Ag,ID,Precision photogrammetry and crop scouting for precision agriculture,
4/16/15,RW Zollinger Consulting Engineers,Construction,DJI Phantom 2,PA,"Aerial data collection including LIDAR, visual photography, and infrared remote sensing applications.",
4/16/15,PPL Electric Utilities Corporation,Utilities/Energy/Infrastructure,DJI S900,PA,"Inspections of energy infrastructure, such as transmission and distribution lines and substations",
4/16/15,Falkirk Mining Company,Utilities/Energy/Infrastructure,"SenseFly eBee, Trimble UX5",ND,"Land surveying services. Applications may include agricultural applications, mining, construction and survey/GIS operations",
4/16/15,"Blackwell Group, LLC",Utilities/Energy/Infrastructure,SenseFly eBee,VA,"Mapping and survey applications for natural resources, endangered species and plant life, topography, as-built construction conditions and progress, quarry and mining operations (noncongested areas).",
