Date ,Company,Category,Aircraft,Location,Description,
8/12/15,Lykov's LLC,Photo/Film,"DJI Phantom 2, DJI Phantom 3, DJI Inspire 1  ",CA,"Video, photography, and motion picture filming.",
8/12/15,"Aerial Enterprises, Inc.",Photo/Film,"DJI Spreading Wings S1000 +, 3D Robotics Iris +",FL,"Live television coverage of major sporting events, television commercial production, and filmmaking in ""closed set"" environments.",
8/12/15,"Richter Brothers Studios, Inc dba Richter Studios",Photo/Film,DJI Inspire 1,IL,Aerial cinematography.,
8/12/15,Skeye I LLC,"Photo/Film, Real Estate, Construction, Agriculture","DJI Phantom 2 Vision +, DJI Phantom 3 Professional, DJI Inspire 1",IA,"Event photography/videography, Real estate photography, Aerial filmmaking and photography, Unmanned aerial sightseeing, Construction site inspections and monitoring, Building inspections, UAS training and safe operation, Event photography/videography, Crop inspection",
8/12/15,Sarra Ventures,"Photo/Film, Agriculture, Education",DJI Phantom 2 Vision +,IL,"Photography and video footage for educational, agricultural, research, promotional, entertainment, and marketing purposes.",
8/12/15,John F. Riley,Photo/Film,"Aeronavics Skyjib 8, DJI Phantom 2 Vision +, DJI Inspire 1",ME,Commercial aerial videography.,
8/14/15,Quality Drone and Mapping Services,"Photo/Film, Other",DJI Inspire 1,PA,"Collection aerial data for various clients requesting services. Such data collecting would include videos, optical registration, and topography.",
8/14/15,Mike H. Lee,"Photo/Film, Construction","DJI Phantom 3 Professional, DJI Inspire 1",PA,"Videography and photography for the purposes of advertising and marketing, and site inspections and surveys.",
8/14/15,ViewsAbove,"Real Estate, Utilities/Energy/Infrastructure, Photo/Film, Emergency Services",Yuneec Q500 Typhoon,MN,"Real Estate Sales, Residential/Commercial Roof inspections/Flare Stack inspections, Property/Environmental Video Survey, Photo/Videography of rural contracted outdoor recreational activities on private and public use lands (Prior Permission and coordination Only), Fire Survey and Rural Search Assist to local public and private entities.",
8/14/15,"DroneSense, LLC","Utilities/Energy/Infrastructure, Photo/Film",DJI Inspire 1,TX,Mapping and surveying.,
8/14/15,"marX The Spot Films, Inc.",Photo/Film,"DJI S1000, DJI Inspire, Freefly ALTA, Cinestar 8HL",FL,"Photography, motion picture filming, and videography.",
8/14/15,Luc Gerber dba LGAERIAL,"Construction, Utilities/Energy/Infrastructure, Photo/Film","DJI Phantom 3, DJI Inspire 1  ",NV,"Aerial inspections/survey applications may include construction jobsite monitoring, pipeline inspection, precision topological surveys and mine sites.",
8/14/15,Lance Flaugh,"Photo/Film, Agriculture, Emergency Services","DJI Phantom 2 Vision +, DJI Phantom 3",IA,"Photography, cinematography, videography, mapping, crop surveying, search and rescue, and inspections.",
8/14/15,Travis Campbell Realtor,Real Estate,DJI Phantom 3 Advanced,TX,Photography and videography.,
8/14/15,Cooley Drone Services,"Real Estate, Photo/Film","DJI Phantom Vision 2 +, DJI Phantom 3",FL,"Aerial photography for building inspections, real estate sales services, commercial photography and videography services, and sUAS flight demonstration",
8/14/15,"C and C, LLC","Education, Photo/Film, Utilities/Energy/Infrastructure",Cinestar 8,PR,"Student instruction, aerial photography or survey, and power line or pipeline patrol.",
8/14/15,ImageKeeperLLC,"Construction, Insureance","3D Robotics IRIS +, DJI Phantom 2, DJI Inspire 1",NV,"Roof inspections, automatic hail imaging damage assessment, analysis, certified report system, underwriting report, risk assessment, risk controls, accident reconstruction and small UAS pilot training and development.",
8/14/15,"Conservaco, LLC",Photo/Film,DJI Inspire 1,FL,"Aerial photography for the media and advertising industries for pre-planned, controlled area, photographic and surveying services.",
8/14/15,BirdseyePix & VT,"Real Estate, Photo/Film, Utilities/Energy/Infrastructure",DJI Phantom 1,SC,"Aerial filming utilizing video and still images of real estate properties for sale, structures for mechanical and structural integrity, filming of commercial structures and activities for advertising purposes, as well as natural scenery and layouts for aerial mapping and enjoyment.",
8/14/15,Frontier Precision Inc.,"Agriculture, Utilities/Energy/Infrastructure","Trimble UX5, Trimble UX5 hp",ND,"Agriculture, mining, and other purposes.",
8/14/15,George Tio,Photo/Film,DJI F550,KY,"Photography, videography, and cinematography.",
8/14/15,"Lost River Enterprises, LLC dba Lost River Aerial",Photo/Film,DJI Phantom Vision 2,UT,"Aerial videography and photography for media and advertising industries and other private and public entities, and natural resoruce videography and photography",
8/14/15,"Birdseye Productions, LLC","Real Estate, Photo/Film, Construction, Education",DJI Phantom 2 Vision + ,SD,"Real estate marketing, feature films, television commercials, documentaries, construction survey, 3-D mapping, and educational research and development.",
8/14/15,Panoptes Systems Corporation,Other,"DJI Phantom 2, DJI Phantom 2 Vision +, 3DR Iris +, 3DR Solo",CA,"Research, testing, and aerial data collection.",
8/14/15,Cochise Community College,Education,Prioria Maveric,AZ,Training1 and demonstrations.,
8/14/15,Thomas Petitti,Photo/Film,DJI F550,IA,Photography and inspections.,
8/14/15,Brian Kulpa,"Photo/Film, Construction, Emergency Services",DJI Inspire 1,NV,"Photography, videography, surveying, cinematography, inspections and search and rescue.",
8/14/15,William R Aylard,"Construction, Real Estate, Photo/Film, Emergency Services",DJI Phantom 2+,SC,"Roof inspections, real estate, special events and search and rescue.",
8/14/15,Air Data Solutions,"Agriculture, Education, Photo/Film","DJI Phantom 2 Vision+, RoboFlight RF-70",LA,"Agricultural Surveying, sUAS Operator Training, Product Demonstrations, Research and Development, Aerial Photography",
8/14/15,EnTech Inc,"Construction, Real Estate",Draganfly X4-ES,WY,Surveying and inspections of properties owned by both public and private entities for the use in civil engineering planning and design solutions.,
8/14/15,Precision Resource Management Imagery LLC,"Photo/Film, Agriculture, Real Estate, Construction",3D Robotics IRIS+,VA,"Aerial surveying, Event Videography/Photography, Agriculture imagery, Real Estate Videography/Photography, Aerial filmmaking and photography, Construction site inspections and monitoring",
8/14/15,Bradley Pierce,Photo/Film,"DJI Phantom 3 Professional, 3D Robotics Solo",MA,"Photography, videography, inspections, training, and closed set filming.",
8/14/15,Jason Spiewak,Photo/Film,DJI Phantom 2,FL,Aerial cinematography and photography.,
8/14/15,Noah Cowles,Real Estate,"DJI Phantom+, DJI Inspire 1",FL,Aerial imaging and videography of homes and properties.,
8/14/15,Westside Drones,"Photo/Film, Real Estate","DJI Phantom 3, 3D Robotics Solo",CA,"Videography/cinematography to enhance academic community awareness for those individuals and companies unfamiliar with the geographical layout of the Southern California area, and augment real estate listing videos.",
8/14/15,Scenic Over Sights,"Real Estate, Construction",3D Robotics Iris+,NC,"Aerial imaging for safety, monitoring, inspecting and/or recording of secured and controlled environment construction sites, proposed development sites, inspections of property and photography for realty advertisements",
8/14/15,West Edge Collective LLC,Photo/Film,3D Robotics Solo,WY,Aerial photography.,
8/14/15,Robert Peak,"Photo/Film, Real Estate, Education","DJI Phantom 2, DJI Phantom 3 Professional",WV,"Documentary and promotional film production, Aerial filming for tourism promotion in West Virginia, Aerial event filming, Aerial location filming, Aerial real estate filming, Aerial location scouting and safety inspection, Increase public knowledge of sUAS and promote safe sUAS operations.",
8/14/15,Northern Images Photography,Photo/Film,DJI Phantom 3,MN,Videography and photography.,
8/14/15,M3 Partners LLC,"Real Estate, Emergency Services",DJI Phantom 2 Vision+,SC,Aerial surveying.,
8/14/15,Adam Dorn,"Construction, Utilities/Energy/Infrastructure","Phantom Vision 2, DJI Inspire 1, DJI Spreading Wings S900",NY,"Environmental, construction, utility, storm water management, and general engineering inspections",
8/14/15,AMA Productions LLC,"Real Estate, Photo/Film",DJI Inspire 1,LA,Photography and videography for real estate marketing and commercials.,
8/14/15,"Unmanned Aerial Systems Development, Inc.",Manufacturer,"UASD CarbonCore1, 3D Robotics Solo",MA,Development of enhanced platforms and systems.,
8/17/15,VizTools LLC,Photo/Film,Yuneec Typhoon Q450,MA,"Photography for the motion picture and television industries for scripted, closed set filming.",
8/17/15,ESRUAS LLC,"Real Estate, Conservation, Photo/Film",DJI Phantom 2,FL,"Real estate, wildlife conservation, and closed-set filming.",
8/17/15,Charles Ayers,"Real Estate, Photo/Film, Construction",DJI Phantom 2 Vision+,FL,"Images for real-estate, marketing and roof inspections.",
8/17/15,Sky Pixel LA LLC,"Photo/Film, Real Estate, Education",DJI Phantom 3,LA,"Wedding Videography and Photography, Motion Picture Filming, Special Event Filming, Real Estate Photography, Increase public knowledge of UAS and promote safe UAS operations.",
8/17/15,Ryan Joseph Cathey,"Construction, Real Estate, Photo/Film, Emergency Services",DJI Phantom 3,CA,"Imaging for a variety of commercial, public, and residential uses, specifically targeting construction sites before and after, appraisals, real-estate marketing, motion picture filming, aerial acquisitions used for inspections of public and private structures, and search and rescue operations.",
8/17/15,The Topping Group,Photo/Film,DJI Inspire 1,MO,Commercial aerial photography and video services for corporate and industrial clients.,
8/17/15,Legal EZE Technology Inc,"Photo/Film, Emergency Services, Government Contracting","DJI Inspire 1, DJI Phantom 3",AL,"Photography and videography services for surveying, evidence collection, and closed set filming.",
8/18/15,Schultz ATM,Photo/Film,DJI Inspire,TX,Aerial photography.,
8/18/15,"Veterans Helping Veterans Foundation, Inc.",Real Estate,"DJI Spreading Wings S800, DJI Phantom 2",FL,"Aerial videography and cinematography to enhance academic community awareness for non profit organizations in the South Florida area, and to produce revenue to further the charitable goals of the Veterans Helping Veterans Foundation Inc. by producing real estate listing videos",
8/18/15,Bergen County Aerial Media,Real Estate,DJI Inspire,NJ,aerial photography and videography for real estate. ,
8/18/15,Burger Media Inc.,"Real Estate, Photo/Film, Emergency Services","DJI Inspire 1, DJI Spreading Wings S1000+",VA,"Aerial data collection and closed set motion picture and filming. Aerial photography and/or video for public and/or private use including real estate, architecture, land surveying, engineering and other related professional activities. Aerial video and/or photography for public and/or private use including television, public events, cinematography and news gathering. Aerial inspection/photography of residential/commercial structures under contract with the owners or local government authority. Aerial video/photography or providing live video feed to assist with search and rescue operations in cases of an emergency or natural disaster only when the local authorities or government has requested it by contract or donation. UAS training. ",
8/18/15,Ruben E Carlos,"Real Estate, Photo/Film, Emergency Services",DJI Phantom 3 Professional,CA,"Aerial photography and/or video for public and/or private use including real estate, architecture, land surveying, engineering and other related professional activities. Aerial video and/or photography for public and/or private use including television, public events, cinematography and news gathering. Aerial inspection/photography of residential/commercial structures under contract with the owners or local government authority. Aerial video/photography or providing live video feed to assist with search and rescue operations in cases of an emergency or natural disaster only when the local authorities or government has requested it by contract or donation. UAS training.",
8/18/15,Unmanned Photography,Construction,3D Robotics IRIS+,PA,"Aerial photography / videography to showcase constructed projects for architects, landscape architects, and contractors in and around South Eastern Pennsylvania. Other anticipated applications would include surveying, mapping, and construction site monitoring.",
8/18/15,Top View Aerial Photography LLC,"Real Estate, Photo/Film, Construction",DJI Inspire 1,MA,"Aerial photography and/or video for public and/or private use including real estate, architecture, land surveying, engineering, and other professional activities. Aerial video and/or photography for public and/or private use including television, public events, cinematography, and news gathering. Aerial inspection/photography or providing live feed to assist with search and rescue operations in case of an emergency or natural disaster only when local authorities has requested it.",
8/18/15,Blue River Technology Inc.,Agriculture,"Vulcan Raven, DJI S1000",CA,Aerial data for precision agricultural surveys.,
8/19/15,SkyShot Productions,Real Estate,DJI Phantom 2,CA,Real estate photography and videography.,
8/19/15,"Interior Pixels, Inc.",Real Estate,"DJI Phantom 2, DJI Inspire 1",CA,Aerial real estate and landscape video and photography for the purpose of producing real estate videos and commercials.,
8/19/15,MS Airwaves Inc.,"Real Estate, Photo/Film, Utilities/Energy/Infrastructure, Emergency Services",DJI Inspire 1,CA,"Aerial photography and/or video for public and/or private use including real estate, architecture, land surveying, engineering and other related professional activities. Aerial video and/or photography for public and/or private use including television, public events, cinematography and news gathering. Aerial inspection/photography of residential/commercial structures under contract with the owners or local government authority. Aerial inspection/photography of residential/commercial utility infrastructure including but not limited to electrical power lines, wind turbines and cell towers. Aerial video/photography or providing live video feed to assist with search and rescue operations in cases of an emergency or natural disaster. UAS Training.",
8/19/15,"Altiora Media, LLC","Photo/Film, Construction, Real Estate",DJI Inspire 1,NM,"Aerial video and photography of forestry project sites, wildfire zones, construction sites, building inspections, agricultural lands, outdoor recreational facilities, real estate, special events, and landscapes.",
8/19/15,"SKYLVL, LLC","Photo/Film, Agriculture, Emergency Services","DJI Phantom 2, Cinestar X8, Cinestar 6, DJI F550",TX,Media Production. Real Estate Photography. Agricultural & Land Surveying. Aerial Mapping. Search and Rescue Operations. sUAS Operator Training. Product Demonstrations. Research and Development.,
8/19/15,FBAP Inc.,Photo/Film,"DJI Phantom 2, DJI Inspire 1, Gryphon Dynamics X8",FL,Aerial photography and cinematography.,
8/19/15,RPA/UAS Consulting LLC,"Photo/Film, Emergency Services","DJI Phantom 2 vision+, DJI Phantom 3 professional, DJI Inspire 1, DJI S1000, ASCTEC Falcon 8",CO,"Photography and videography, emergency services support, search and rescue, emergency services training, UAS operations training , and UAS capability demonstrations.",
8/19/15,Michael Angelo Photographers,Real Estate,Blade 350 QX3,NJ,Aerial imaging and video of homes listed for sale in Ocean and Monmouth Counties in the state of New Jersey.,
8/19/15,19 Holes of Production,"Photo/Film, Real Estate, Construction","DJI Phantom 2 Vision+, DJI Inspire",NC,"Aerial video and photography of construction sites, real estate, golf courses, and landscape.",
8/19/15,"Koplar Communications, LLC",Photo/Film,DJI Phantom 2 Vision +,MO,"Aerial photography to be used in production for commercials and other promotional videos, and newsgathering.",
8/19/15,Daniel R McKillips,"Photo/Film, Agriculture",Yuneec Q500,FL,"Aerial photography, cinematography, videography, mapping, crop surveying, inspections.",
8/19/15,Northport Solutions LLC,Real Estate,DJI Phantom 1,IN,Aerial photography and videography for real estate. ,
8/19/15,"FireFly Aviation, LLC","Photo/Film, Emergency Services",DJI Phantom 3,MI,"Aerial photography, videography, search and rescue, and damage and casualty assessments.",
8/19/15,Rick L Young,"Government Contracting, Emergency Services",DJI Phantom 2 Vision+,CO,Official government aerial photography and evaluation of emergency response scenes and operations.,
8/19/15,In Flight,"Utilities/Energy/Infrastructure, Conservation, Photo/Film","DJI Inspire 1, DJI Phantom, DJI S-1000",CA,Oil and Gas Infrastructure Monitoring and Inspection Services. Industrial Facility Inspections. Conservation Reviews. General Video and Photography assignments. Inspection of Wind and Solar power generation. Inspection of Telecom structures. Amusement park rides. Search and Rescue Operations in cases of emergency or natural disaster. Spill response for Oil companies. ,
8/19/15,Drew F Van Duren,Photo/Film,DJI Phantom 2 Vision+,CA,"Aerial photography, videography, and remote sensing research and development.",
8/19/15,Land Grant Surveyors LLC,"Photo/Film, Real Estate",DJI Phantom 1,PA,"Precision aerial surveying, residential and commercial real estate, inspection and aerial photography.",
8/19/15,Lochmueller Group Inc.,Utilities/Energy/Infrastructure,DJI Phantom 2 Vision +,IN,"Aerial surveying, aerial mapping, construction aerial inspection, environmental wetland mitigation monitoring, remote sensing, wildlife monitoring and civil engineering aerial imagery.",
8/19/15,"Farmspace Systems, LLC","Agriculture, Emergency Services, Utilities/Energy/Infrastructure","3D Robotics 3DR Y-6, 3DR X-8, 3DR Solo",TN,"Aerial surveying to support: Agriculture, Environmental, Emergency Management, Key National Security & Infrastructure, Real Estate, Economic Development, Training, plus UAS Research & Development initiatives.",
8/19/15,Factor Aerial Imagery,Photo/Film,DJI S1000,CA,Aerial photography.,
8/19/15,Fregonese Associates,"Photo/Film, Construction, Real Estate",DJI Phantom 2,OR,"Aerial video and photography of public areas, civil landscapes, construction sites, and residential and commercial real estate.",
8/19/15,John P Creed,Construction,DJI Phantom 2+,PA,Video and still imaging and inspection tool for Home Improvements and related services.,
8/19/15,"Vertical Vantage, Inc.","Photo/Film, Real Estate",DJI Inspire 1,NV,"Aerial photography, videography, inspection/survey and real estate services.",
8/19/15,Skanska USA Civil,Construction,SenseFly eBee,CA,Aerial imaging and survey mapping for safety and monitoring of secured and controlled construction site.,
8/19/15,"Michigan Aerial Videos, LLC","Photo/FIlm, Real Estate, Emergency Services","DJI Phantom Vision+, DJI Phantom Vision, DJI Phantom 3, DJI Inspire",MI,"Aerial photography for real Estate listings; yacht brokerage/listings; private events: weddings, parties; commercials/promotions for businesses, communities, golf courses, marinas, resorts; agriculture: imaging for crop health and/or production estimates; private land owners: pictures/video of their property; as needed/requested to support law enforcement and/or first responders. ",
8/19/15,"KM Video Productions, LLC","Photo/Film, Real Estate, Construction",DJI Phantom 2 Vision +,SC,"Aerial video and photography of construction sites, real estate, nonprofit and other community special events.",
8/19/15,360 Delaware Orbit Tours,"Photo/Film, Agriculture","DJI Phantom 2, DJI Phantom 3, DJI Inspire 1, DJI Spreading Wings S800, DJI Spreading Wings S900, DJI Spreading Wings S1000, DJI Matrix 100, Cinestar 8 Octo, Altavian Nova F6500, Blade 350 QX3, AgEagle, 3DRobotics X8, 3DRobotics Iris, 3DRobotics Solo, SenseFly eBee, Yuneec Q500 Typhon, DraganFlyer X4-ES, Trimble UX5, Microdrones MD4",DE,"Aerial inspection, photography, filmmaking, cinematography, videography, precision agriculture, wildlife and forestry monitoring and mosquito and insect control, aerial surveying, public entity support operations, training , special events, motion picture production, surface mining, closed set filming,.",
8/19/15,Prestige Aerial,Photo/Film,"3D Robotics IRIS+, 3D Robotics Aero, 3D Robotics X8+",TX,Aerial photography and videography.,
8/20/15,Aerial Strategies LLC,Photo/Film,"DJI Phantom 3, DJI Inspire",VA,Flight instruction1 and commercial aerial work flight operations.,
8/20/15,Greg Priest,Real Estate,DJI F550,AL,Aerial photography and videography for the real estate industry,
8/20/15,Verascan Inc,"Construction, Agriculture., Utilities/Energy/Infrastructure",DJI Phantom 2,NV,"Conducting aerial inspections, acquisitions and research within the National Airspace System (NAS) in the industries of agriculture, construction, and engineering",
8/20/15,Randy Hemmel,Real Estate,DJI Phantom 2 Vision+,NJ,Aerial photography and videography.,
8/20/15,ParrotVision Productions LLC,"Agriculture, Real Estate, Photo/Film","DJI Inspire, DJI S900",FL,"Surveying, training1 , photography, research and development, demonstrations, and aerial renderings.",
8/20/15,Monsen Engineering Inc,"Agriculture, Utilities/Energy/Infrastructure",Trimble UX5,UT,"Aerial data collection for agriculture, mining, and other purposes.",
8/20/15,Precision Approach Aerial Photography LLC,"Real Estate, Construction, Utilities/Energy/Infrastructure",DJI Phantom 3,MN,"Aerial photography and video for real estate, land surveying, architecture, public events, inspection of commercial property including cell towers and commercial construction, and flight training.",
8/20/15,J Finch Photography,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,IL,"Photography, cinematography, videography, mapping, crop surveying, inspections, and other flight operations.",
8/20/15,Jeff Hester,Real Estate,DJI Phantom 2,CA,Real estate videography and photography.,
8/20/15,Sensorflight LLC,"Photo/Film, Agriculture","DJI Phantom 2, DJI Phantom 2 Vision, DJI Phantom 2 Vision+, DJI Inspire 1, DJI S-1000, DJI Spreading Wings S-1000",TX,"Aerial photography, cinematography, videography, mapping, crop surveying, inspections, and other flight operations",
8/20/15,Philip Madison,"Photo/Film, Real Estate","DJI Phantom, DJI Phantom 3",KY,"Aerial data collection to produce images/video for use in aerial videography/cinematography and augmenting real estate listing videos (or similar operations), commercial advertisings, educational videos, industrial training/safety programs and educational products.",
8/20/15,Peace of Thorn Productions LLC,"Photo/Film, Utilities/Energy/Infrastructure","DJI Phantom 2, DJI S800 EVO",IL,"Aerial inspection, photography, scripted closed set filming and videography for the motion picture, television, and utility company industries.",
8/20/15,Sbdronelife,Photo/Film,DJI Phantom 2 Vision +,CA,Aerial photography and videography.,
8/20/15,Skelly and Loy Inc,"Agriculture, Utilities/Energy/Infrastructure",Trimble UX5,PA,"Agriculture, mining, and professional surveying.",
8/20/15,Planck Aerosystems Inc,"Utilities/Energy/Infrastructure, Conservation",Leptron RDASS,CA,"The goal of the exemption request is to operate a small unmanned vehicle over bodies of water in order to conduct aerial surveying and identification of surface and subsurface objects in water, including boats, logs, fish, rocks, kelp, reefs, marine mammals, etc.",
8/20/15,ArgenTech Solutions Inc,"Utilities/Energy/Infrastructure, Emergency Services",3DRobotics Aero‰öÕM,WA,"Aerial inspection and monitoring of utilities, infrastructure, wildfire, and other emergency services.",
8/20/15,Rocky Babcock,"Photo/Film, Construction",DJI Inspire 1,MI,"This operation also includes any videography that will be performed for compensation in order to promote a brand or survey operations such as a work zone or construction project with new products which companies seek to promote. This may also include aerial videography, which companies choose to promote action sports with the strict consideration of using my particular UAS and how it will operate.",
8/20/15,Mohawk Northeast Inc,Construction,"3D Robotics Iris+, DJI Phantom 2 Vision+",CT,Aerial imaging in construction operations.,
8/20/15,Bird's Eye View Consulting,Conservation ,DJI Inspire,CA,"Aerial photography and videography for ecological, biological, and geographical purposes.",
8/20/15,Granite Construction Company,"Agriculture, Utilities/Energy/Infrastructure",Trimble UX5,NV,"Aerial surveys and data collection for agricultural, mining, and other purposes.",
8/20/15,Navigation Electronics Inc,"Agriculture, Utilities/Energy/Infrastructure",Trimble UX5,LA,Aerial surveys and aerial data collection for agriculture and mining.,
8/20/15,HLCM Group Inc,"Agriculture, Utilities/Energy/Infrastructure","Trimble UX5, Trimble UX5 hp",PR,Aerial surveys and aerial data collection for agriculture and mining.,
8/20/15,Windtrap Digital Media LLC,"Photo/Film, Emergency Services, Real Estate, Utilities/Energy/Infrastructure","DJI Phantom 3, DJI Inspire 1, 3D Robotics Iris Plus, 3D Robotics Solo",MI,"Photography and video, inspection, surveying, search and rescue, and training.",
8/20/15,Clear Sky Images,"Photo/Film, Emergency Services, Utilities/Energy/Infrastructure, Real Estate",Turbo Ace Matrix,NC,"Aerial photography and video, inspection, search and rescue.",
8/20/15,PKD Photography,"Photo/Film, Real Estate","DJI Phantom 2, DJI Phantom 3, DJI Inspire 1",MA,"Commercial and residential real estate, aerial survey, mapping, 3D modeling, and general aerial photography.",
8/20/15,Single Malt Media LLC,Photo/Film,"DJI Spreading Wings S900, DJI S800 EVO",VA,Aerial cinematography in closed set filming in motion picture and television production.,
8/20/15,Certified Productions Inc.,Photo/Film,"DJI S1000, DJI Inspire 1, DJI Phantom 3",NV,Aerial photography for the motion picture and television industry for scripted closed set filming.,
8/20/15,Kyle Joseph Brow,Photo/Film,Blade 350 QX3,MI,Aerial videography and cinematography.,
8/20/15,Camera Artistry Photo,Photo/Film,"DJI Phantom 2 Vision+, DJI Phantom 3 Professional",TX,Aerial photography and videography,
8/20/15,Patrick Heaphy,"Photo/Film, Real Estate",DJI Inspire 1,NY,Aerial imaging and video for regional tourism and real estate in the lower Hudson Valley of New York and Northern New Jersey,
8/20/15,DroneBase Inc.,Photo/Film,"DJI Inspire 1, DJI Phantom 2, DJI Phantom 3 Professional, 3D Robotics X8-M",CA,"Aerial photography, videography, and inspections.",
8/20/15,Michael J McCue,"Photo/Film, Real Estate, Emergency Services",DJI Phantom 3 Professional,WY,"Aerial photography, videography, and UAS training.",
8/21/15,Lockheed Martin MST,Photo/Film,"DJI Phantom, DJI Inspire 1",MD,Aerial video and photography of Lockheed Martin products.,
8/24/15,Nicholas M Brown,"Photo/Film, Utilities/Energy/Infrastructure, Emergency Services","DJI Phantom 2 Vision+, DJI Inspire 1",OK,Sourcing GIS tagged aerial images for use in Computer Assisted Mass Appraisal (CAMA) systems. Motion Picture Filming Aerial acquisitions used for inspections of public and private structures. Increase public knowledge of UAS and promote safe UAS operations. Search and Rescue operations,
8/24/15,EnviroPlus Consulting Inc,"Scientific Studies, Utilities/Energy/Infrastructure",DJI S-1000,CA,"Aerial data collection services in the fields of biology and botany, energy infrastructure inspection, and aerial mapping and survey.",
8/24/15,Gary S Berg,"Photo/Film, Real Estate, Construction, Emergency Services","DJI Phantom 3, 3D Robotics X8",WA,å_ Aerial photography å_ Event Photography/Videography å_ Agricultural imaging å_ Real Estate Photography å_ Aerial mapping/surveying å_ Construction site inspections and monitoring å_ Search and Rescue å_ News gathering å_ UAS design/construction/testing å_ Flight training,
8/24/15,Jacob Goetzinger,Photo/Film,DJI Phantom 2 Vision,IA,Aerial imaging and video for the purpose of marketing materials and media.,
8/24/15,Dallas Aerial Video Productions,"Photo/Film, Emergency Services, Real Estate, Utilities/Energy/Infrastructure",DJI Phantom 3,TX,"Aerial photography, videography, inspections, and search and rescue operations.",
8/24/15,Pinpoint Services Inc,Utilities/Energy/Infrastructure,"DJI Phantom 2 Vision+, DJI Phantom 3",NE,Inspection and maintenance of cellular communication towers.,
8/24/15,High Above SBC,Real Estate,"DJI Phantom 3, Yuneec Q500",LA,"Aerial photography / video, real estate marketing and surveys.",
8/24/15,McCoury Investments Inc,Photo/Film,"DJI Phantom 3, DJI Inspire",WA,Aerial photography and videography.,
8/24/15,Drone View Aerial Photo,Photo/Film,DJI Phantom 3,CT,Aerial photography.,
8/24/15,Pneumatic Drone Cinema Inc,"Real Estate, Construction, Utilities/Energy/Infrastructure","DJI Phantom 2 Vision+, DJI S900, 3D Robotics Solo",FL,"Aerial photography and videography for the real estate, construction, and utilities industries for commercial use.",
8/24/15,Airphrame Inc,"Insurance, Construction","3D Robotics Iris+, DJI Phantom 2",CA,Aerial imagery and data collection primarily for the engineering and insurance industries.,
8/24/15,Dustin Gwin Photography,"Photo/Film, Real Estate","DJI Phantom 2 Vision+, DJI Phantom 3, DJI Inspire 1",OK,"Aerial video and photography operations is to provide low cost, high quality imaging for a variety of commercial and residential customers.",
8/24/15,AirVidTech LLC,"Photo/Film, Real Estate",DJI Inspire 1,UT,Aerial videography and cinematography.,
8/24/15,Crossfield LLC,"Agriculture, Utilities/Energy/Infrastructure, Construction","DJI Flame Wheel 550, DJI Spreading Wings S1000+",CA,"Precision imaging though the use of a small, unmanned aerial vehicle to benefit several industries including mining, agriculture, and construction.",
8/24/15,Aluminum Photography,"Photo/Film, Real Estate, Agriculture",DJI Phantom 3 Professional,OR,"Aerial photography, cinematography, filming, monitoring, mapping, and surveying.",
8/24/15,Landpoint LLC,"Utilities/Energy/Infrastructure, Agriculture, Construction",SenseFly-eBee RTK,LA,"Occupations within the energy, utility, agriculture, and construction industries.",
8/24/15,Steve Clothier,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,WI,Aerial imaging andvideo in Northeastern Wisconsin. This would include real estate for sale and capturing aerial business images for advertising.,
8/24/15,FT Aerial Services LLC,"Real Estate, Agriculture, Utilities/Energy/Infrastructure, Photo/Film",DJI Phantom 3 Professional,TX,"Aerial photography, videography, surveying, and inspection.",
8/24/15,Drew Mateya,"Agriculture, Photo/Film","DJI Phantom 2 Vision+, DJI Phantom 3, DJI Inspire 1, Avyon MD4-200, Avyon MD4-1000",PA,"Although videography and photography are included in the request, the primary objective will be aerial survey of farm crops for precision agriculture.",
8/24/15,Innovative Mapping Technologies LLP,"Photo/Film, Agriculture, Utilities/Energy/Infrastructure",SenseFly eBee,NY,"Videography and filmmaking, aerial photography, aerial mapping, aerial inspection, agricultural inventory, and stockpile inventory.",
8/24/15,Resource Programming Inc dba Timberland Media Inc,"Agriculture, Photo/Film","DJI Phantom 2, DJI Inspire, DJI S1000, DJI S900, 3D Robotics Iris+",OR,"Aerial imaging, videography, surveying, mapping, inspection, product demonstration, UAS training1 , and research and development.",
8/24/15,Griffin Aerial LLC,"Agriculture, Utilities/Energy/Infrastructure, Photo/Film, Construction, Conservation","DJI S900, DJI S1000, 3D Robotics Iris +, 3D Robotics X8-M, 3D Robotics Aero-M, 3D Robotics Solo",CT,"Aerial surveying, remote sensing, telecommunications, agriculture, aerial filmmaking and photography, energy systems inspections and asset management, construction site inspections and monitoring, wildlife and forestry monitoring, educational and research operations, pipeline inspection and patrolling.",
8/24/15,John Flower Productions,Photo/Film,DJI Inspire 1,KY,Photography and videography services.,
8/25/15,Marc Wiercioch LLC,"Photo/Film, Agriculture",DJI Flamewheel F550,CA,Motion picture production and agricultural surveying.,
8/25/15,Image Effects,"Photo/Film, Utilities/Energy/Infrastructure, Conservation, Agriculture, Real Estate, Emergency Services","DJI Phantom 3, DJI Inspire 1",ID,"Filming and photography for coverage of events, structural inspections of bridges, pipelines, wells, power lines, cell towers, agricultural fields, enhanced real estate listings, wildlife survey, motion picture filming, and search and rescue.",
